township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
PAUNDE,PAUN DE,ပေါင်းတည်,PATATA,ပတတ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပေါင်းတည်,Paungde
PAUNG,PAUNG,ပေါင်,PAMANA,ပမန,10,Mon,မွန်ပြည်နယ်,ပေါင်,Paung
PAUNGTALAE,PAUNG TA LAE,ပေါင်းတလည်,PATALA,ပတလ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပေါင်းတလည်,Paungdale
PHAKANT,PHA KANT,ဖားကန့်,PHAKANA,ဖကန,1,Kachin,ကချင်ပြည်နယ်,ဖားကန့်,Hpakant
PHA KANT,PHA KANT,ဖားကန့်,KAMANA,ကမန,1,Kachin,ကချင်ပြည်နယ်,ဖားကန့်,Hpakant
PHARPON-KAYIN,PHARPON-KAYIN,ဖာပွန်,PHAPANA,ဖပန,3,Kayin,ကရင်ပြည်နယ်,ဖာပွန်,Hpapun
PHAUNGPYIN,PHAUNG PYIN,ဖောင်းပြင်,PHAPANA,ဖပန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဖောင်းပြင်,Paungbyin
PHEKON,PHE KON,ဖယ်ခုံ,PHAKHANA,ဖခန,13,Shan,ရှမ်းပြည်နယ်,ဖယ်ခုံ,Pekon
PHRUSO,PHRU SO,ဖရူးဆိုး,PHAYASA,ဖရဆ,2,Kayah,ကယားပြည်နယ်,ဖရူဆို,Phru So
PHYAPON,PHYA PON,ဖျာပုံ,PHAPANA,ဖပန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဖျာပုံ,Pyapon
PINDAYA,PIN DA YA,ပင်းတယ,PATAYA,ပတယ,13,Shan,ရှမ်းပြည်နယ်,ပင်းတယ,Pindaya
PINLAUNG,PIN LAUNG,ပင်လောင်း,PALATA,ပလန,13,Shan,ရှမ်းပြည်နယ်,ပင်လောင်း,Pinlaung
PINLEBU,PIN LE BU,ပင်လယ်ဘူး,PALABA,ပလဘ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ပင်လည်ဘူး,Pin Le Bu
POBBATHIRI,POB BA THIRI,ပုဗ္ဗသီရိ,PABATHA,ပဗသ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ပုဗ္ဗသီရိ,Poke Ba Thi Ritown
PONNAGYUN,PON NA GYUN,ပုဏ္ဏားကျွန်း,PANAKA,ပဏက,11,Rakhine,ရခိုင်ပြည်နယ်,ပုဏ္ဏားကျွန်း,Ponnagyun
PUTAO,PU TA O,ပူတာအို,PATAAH,ပတအ,1,Kachin,ကချင်ပြည်နယ်,ပူတာအို,Puta-O
PWINTPHYU,PWINT PHYU,ပွင့်ဖြူ,PAPHANA,ပဖန,8,Magway,မကွေးတိုင်းဒေသကြီး,ပွင့်ဖြူ,Pwintbyu
PYAWBWE,PYAW BWE,ပျော်ဘွယ်,PABANA,ပဘန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ပျော်ဘွယ်,Pyawbwe
PYAY,PYAY,ပြည်,PAMANA,ပမန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပြည်,Pyay
PYIGYIMANDAING,PYI GYI MAN DAING,ပြည်ကြီးမဏ္ဍိုင်,PAKAMA,ပကမ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ပြည်ကြီးမဏ္ဍိုင်,Pyigyimandaing
PYIGYITAKHUN,PYI GYI TA KHUN,ပြည်ကြီးတံခွန်,PAKAKHA,ပကခ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ပြည်ကြီးတံခွန်,Pyigyitagon
PYINMANA,PYIN MA NA,ပျဉ်းမနား,PAMANA,ပမန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ပျဉ်းမနား,Pyinmana
PYINSALU,PYIN SA LU,ပြင်စလူ,PASALA,ပစလ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ပြင်စလူ,Pyinsalu
PYU,PYU,ဖြူး,PHAMANA,ဖမန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ဖြူး,Phyu
PYUNTANSAR,PYUN TAN SAR,ပြွန်တန်ဆာ,PATASA,ပတဆ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပြွန်တန်ဆာ,Pyuntasa
RIHKHUADAL,RIH KHUA DAL,ရခူးဒဲ,YAKHADA,ရခဒ,4,Chin,ချင်းပြည်နယ်,ရိခေါ်ဒါရ်,Rih Khua Dal
SAGAING,SA GAING,စစ်ကိုင်း,SAKANA,စကန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,စစ်ကိုင်း,Sagaing
SAKU,SA KU,စကု,SAKANA,စကန,8,Magway,မကွေးတိုင်းဒေသကြီး,စကု,Saku
SALIN,SA LIN,စလင်း,SALANA,စလန,8,Magway,မကွေးတိုင်းဒေသကြီး,စလင်း,Salin
SALINGYI,SA LIN GYI,ဆားလင်းကြီး,SALAKA,ဆလက,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဆားလင်းကြီး,Salingyi
SAMI,SAMI,စမီး,SAMANA,ဆမန,4,Chin,ချင်းပြည်နယ်,ဆမီး,Sami
SANGYOUNG,SAN GYOUNG,စမ်းချောင်း,SAKHANA,စခန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,စမ်းချောင်း,Sanchaung
HSOTLAW,SAW LAW,ဆော့လော်,SALANA,ဆလန,1,Kachin,ကချင်ပြည်နယ်,ဆော့လော်,Tsawlaw
SAYTOTTARA,SAY TOT TA RA,စေတုတ္တရာ,SATAYA,စတရ,8,Magway,မကွေးတိုင်းဒေသကြီး,စေတုတ္တရာ,Sidoktaya
SEIKPHYU,SEIK PHYU,ဆိပ်ဖြူ,SAPHANA,ဆဖန,8,Magway,မကွေးတိုင်းဒေသကြီး,ဆိပ်ဖြူ,Seikphyu
SEIKKAN,SEIKKAN,ဆိပ်ကမ်း,SAKANA,ဆကန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဆိပ်ကမ်း,Seikkan
SHANYWATHIT,SHAN YWA THIT,ရှမ်းရွာသစ်,YAYATHA,ရရသ,3,Kayin,ကရင်ပြည်နယ်,ရှမ်းရွာသစ်,Shan Ywar Thit
SHARDAW,SHAR DAW,ရှားတော်,YATANA,ရတန,2,Kayah,ကယားပြည်နယ်,ရှားတော,Shar Daw
SHINBWAYYAN,SHIN BWAY YAN,ရှင်ဘွီယန်,YABAYA,ရဘယ,1,Kachin,ကချင်ပြည်နယ်,ရှင်ဗွေယန်,Shin Bway Yan
SHWEBO,SHWE BO,ရွှေဘို,YABANA,ရဘန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ရွှေဘို,Shwebo
SHWEDAUNG,SHWE DAUNG,ရွှေတောင်,YATANA,ရတန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ရွှေတောင်,Shwedaung
SHWEGU,SHWE GU,ရွှေကူ,YAKANA,ရကန,1,Kachin,ကချင်ပြည်နယ်,ရွှေကူ,Shwegu
SHWENYAUNG,SHWE NYAUNG,ရွှေညောင်,YANYANA,ရညန,13,Shan,ရှမ်းပြည်နယ်,ရွှေညောင်,Shwenyaung
SHWEPYITHA,SHWE PYI THA,ရွှေပြည်သာ,YAPATHA,ရပသ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေပြည်သာ,Shwepyithar
SHWETHAUNGYAN,SHWE THAUNG YAN,ရွှေသောင်ရံ,YATHAYA,ယသရ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ရွှေသောင်ယံ,Shwe Thaung Yan
SHWEGYIN,SHWEG YIN,ရွှေကျင်,YAKANA,ရကန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ရွှေကျင်,Shwegyin
HSINBO,SIN BO,ဆင်ဘို,SABATA,ဆဘန,1,Kachin,ကချင်ပြည်နယ်,ဆင်ဘို,Sinbo
SINGAING,SIN GAING,စဉ့်ကိုင်,SAKATA,စကတ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,စဉ့်ကိုင်,Sintgaing
SINKU,SIN KU,စဉ့်ကူး,SAKANA,စကန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,စဉ့်ကူး,Singu
SINPAUNGWAE,SIN PAUNG WAE,ဆင်ပေါင်ဝဲ,SAPAWA,ဆပ၀,8,Magway,မကွေးတိုင်းဒေသကြီး,ဆင်ပေါင်ဝဲ,Sinbaungwe
SITTWAY,SIT TWAY,စစ်တွေ,SATANA,စတန,11,Rakhine,ရခိုင်ပြည်နယ်,စစ်တွေ,Sittwe
SOUTHDAGON,SOUTH DAGON,ဒဂုံမြို့သစ် (တောင်),DAGATA,ဒဂတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဒဂုံမြို့သစ်(တောင်ပိုင်း),South Dagon
SOUTHOKKALAPA,SOUTH OKKALAPA,တောင်ဥက္ကလာ,OUKATA,ဥကတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တောင်ဥက္ကလာပ,South Okkalapa
SUGALI,SU GA LI,စုကလိ,SAKALA,စကလ,3,Kayin,ကရင်ပြည်နယ်,စုကလိ,Su Ka Li
SUMPRABUM,SUM PRA BUM,ဆွမ်ပရာဘွမ်,SAPABA,ဆပဘ,1,Kachin,ကချင်ပြည်နယ်,ဆွမ်ပရာဘွမ်,Sumprabum
SWAMMARA,SWAMMARA,ဆွမ္မရာ,HSAMARA,ဆမရ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဆွမ္မရာ,Sum Ma Rar
TACHILEIK,TA CHI LEIK,တာချီလိတ်,TAKHALA,တခလ,13,Shan,ရှမ်းပြည်နယ်,တာချီလိတ်,Tachileik
TAGAUNG,TA GAUNG,တကောင်း,TAKATA,တကတ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တကောင်း,Takaung
TALAY,TA LAY,တာလေ,TALANA,တလန,13,Shan,ရှမ်းပြည်နယ်,တာလေ,Tarlay
TAMOENYE,TA MOE NYE,တာမိုးညဲ,TAMANYA,တမည,13,Shan,ရှမ်းပြည်နယ်,တာမိုးညဲ,Tarmoenye
TAMWAY,TA MWAY,တာမွေ,TAMANA,တမန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တာမွေ,Tamwe
TANAING,TA NAING,တနိုင်း,TANANA,တနန,1,Kachin,ကချင်ပြည်နယ်,တနိုင်း,Tanai
TANINTHARYI-YA,TA NIN THAR YI,တနင်္သာရီ,TATHAYA,တသရ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,တနင်္သာရီ,Tanintharyi
TANINTHARYI,TA NIN THAR YI-THA,တနင်္သာရီ,TANATHA,တနသ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,တနင်္သာရီ,Tanintharyi
TADAU,TADAU,တံတားဦး,TATAOU,တတဥ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တံတားဦး,Tada-U
TAIKKYI,TAIKKYI,တိုက်ကြီး,TAKANA,တကန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တိုက်ကြီး,Taikkyi
TAMU,TAMU,တမူး,TAMANA,တမန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,တမူး,Tamu
TANSEI,TAN SEI,တန့်ဆည်,TASANA,တဆန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,တန့်ဆည်,Taze
TANATPIN,TANATPIN,သနပ်ပင်,THANAPA,သနပ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,သနပ်ပင်,Thanatpin
TANTYAN,TANTYAN,တန့်ယန်း,TAYANA,တယန,13,Shan,ရှမ်းပြည်နယ်,တန့်ယန်း,Tangyan
TATAR,TATAR,တံတား,TATAHTA,တတထ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တံတား,Tadar
TATKON,TATKON,တပ်ကုန်း,TAKANA,တကန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တပ်ကုန်း,Tatkon
TAUNGDWINGYI,TAUNG DWIN GYI,တောင်တွင်းကြီး,TATAKA,တတက,8,Magway,မကွေးတိုင်းဒေသကြီး,တောင်တွင်းကြီး,Taungdwingyi
TAUNGPYO,TAUNG PYO,တောင်ပြိုလက်ဝဲဒ,TAPAWA,တပ၀,11,Rakhine,ရခိုင်ပြည်နယ်,တောင်ပြိုလက်ဝဲ,Taung Pyo
TAUNGTHA,TAUNG THA,တောင်သာ,TATHANA,တသန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တောင်သာ,Taungtha
TAUNGGYI,TAUNGGYI,တောင်ကြီး,TAKANA,တကန,13,Shan,ရှမ်းပြည်နယ်,တောင်ကြီး,Taunggyi
TEDIM,TEDIM,တီးတိန်,TATANA,တတန,4,Chin,ချင်းပြည်နယ်,တီးတိန်,Tedim
THABEIKKYIN,THA BEIK KYIN,သပိတ်ကျင်း,THAPAKA,သပက,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,သပိတ်ကျင်း,Thabeikkyin
THAKAYTA,THA KAY TA,သာကေတ,THAKATA,သကတ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,သာကေတ,Thaketa
