township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
HEHO,HEHO,ဟဲဟိုး,HAHANA,ဟဟန,13,Shan,ရှမ်းပြည်နယ်,ဟဲဟိုး,He Hoe
HINTHADA,HIN THA DA,ဟင်္သာတ,HATHATA,ဟသတ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ဟင်္သာတ,Hinthada
HKAMTI,HKAMTI,ခန္တီး,KHATANA,ခတန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ခန္တီး,Hkamti
HLAINGBWE,HLAING BWE,လှိုင်းဘွဲ့,LABANA,လဘန,3,Kayin,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,Hlaingbwe
HLEGU,HLEGU,လှည်းကူး,LAKANA,လကန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,လှည်းကူး,Hlegu
HLINE,HLINE,လှိုင်,LAMANA,လမန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,လှိုင်,Hlaing
HLINETHAYA,HLINE THA YA,လှိုင်သာယာ,LATHAYA,လသယ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,လှိုင်သာယာ,Hlaingtharya
HMAWBY,HMAWBY,မှော်ဘီ,MABANA,မဘန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,မှော်ဘီ,Hmawbi
HOMALIN,HO MA LIN,ဟုမ္မလင်း,HAMALA,ဟမလ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဟုမ္မလင်း,Homalin
HOMANE,HO MANE,ဟိုမိန်း,HAMANA,ဟမန,13,Shan,ရှမ်းပြည်နယ်,ဟိုမိန်း,Homein
HOPAN,HO PAN,ဟိုပန်,HAPATA,ဟပတ,13,Shan,ရှမ်းပြည်နယ်,ဟိုပန်,Hopang
HOPIN,HO PIN,ဟိုပင်,HAPANA,ဟပန,1,Kachin,ကချင်ပြည်နယ်,ဟိုပင်,Hopin
HOPON,HO PON,ဟိုပုန်း,HAPANA,ဟပန,13,Shan,ရှမ်းပြည်နယ်,ဟိုပုံး,Ho Pon
HPA-AN,HPA-AN,ဘားအံ,BAAHNA,ဘအန,3,Kayin,ကရင်ပြည်နယ်,ဘားအံ,Hpa-An
HSADONE,HSA DONE,ဆဒုံး,SADANA,ဆဒန,1,Kachin,ကချင်ပြည်နယ်,ဆဒုံး,Sadung
HSAW,HSAW,ဆော,SAMANA,ဆမန,8,Magway,မကွေးတိုင်းဒေသကြီး,ဆော,Saw
HSIHSENG,HSI HSENG,ဆီဆိုင်,SASANA,ဆဆန,13,Shan,ရှမ်းပြည်နယ်,ဆီဆိုင်,Hsihseng
HSIPAW,HSI PAW,သီပေါ,THAPANA,သပန,13,Shan,ရှမ်းပြည်နယ်,သီပေါ,Hsipaw
HTANPARKWAY,HTAN PAR KWAY,ထန်ပါခွေ,HTAPAKHA,ထပခ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ထန်ပါခွေ,Htan Par Kway
HTANTABIN,HTAN TA BIN,ထန်းတပင်,HTATAPA,ထတပ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ထန်းတပင်,Htantabin
HTANTALANG,HTAN TA LANG,ထန်တလန်,HTATALA,ထတလ,4,Chin,ချင်းပြည်နယ်,ထန်တလန်,Thantlang
HTANTAPIN,HTAN TA PIN,ထန်းတပင်,HTATAPA,ထတပ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ထန်းတပင်,Htantabin
HTIGYAING,HTI GYAING,ထီးချိုင့်,HTAKHANA,ထခန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ထီးချိုင့်,Tigyaing
HTILIN,HTI LIN,ထီးလင်း,HTALANA,ထလန,8,Magway,မကွေးတိုင်းဒေသကြီး,ထီးလင်း,Tilin
INDAW,IN DAW-SAGAING,အင်းတော်,AHTANA,အတန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,အင်းတော်,Indaw
INDAW-SHAN,IN DAW-SHAN,အင်းတော်,AHTANA,အတန,13,Shan,ရှမ်းပြည်နယ်,အင်တော,In Daw-Shan
INGAPU,IN GA PU,အင်္ဂပူ,AHGAPA,အဂပ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,အင်္ဂပူ,Ingapu
INGYANYAN,ING YAN YAN,အင်ဂျန်းယန်,AHGAYA,အဂယ,1,Kachin,ကချင်ပြည်နယ်,အင်ဂျန်းယန်,Injangyang
INSEIN,INSEIN,အင်းစိန်,AHSANA,အစန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,အင်းစိန်,Insein
KALAW,KA LAW,က‌လော,KALANA,ကလန,13,Shan,ရှမ်းပြည်နယ်,ကလော,Ka Law
KALAY,KA LAY,ကလေး,KALAHTA,ကလထ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကလေး,Kale
KALEINAUNG,KA LEIN AUNG,ကလိန်အောင်,KALAAH,ကလအ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ကလိန်အောင်,Kaleinaung
KAMAMAUNG,KA MA MAUNG,ကမမောင်,KAMAMA,ကမမ,3,Kayin,ကရင်ပြည်နယ်,ကမမောင်း,Ka Ma Maung
KAMAYUT,KA MA YUT,ကမာရွတ်,KAMAYA,ကမရ,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကမာရွတ်,Kamaryut
KAMINE,KA MINE,ကာမိုင်း,KAMATA,ကမတ,1,Kachin,ကချင်ပြည်နယ်,ကာမိုင်း,Kamaing
KARATHURI,KA RA THU RI,ကရသုရိ,KAYAYA,ကရရ,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ကရသူရိ,Ka Ra Thu Ri
KATHA,KA THA,ကသာ,KATHANA,ကသန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကသာ,Katha
KAWA,KA WA,ကဝ,KAWANA,ကဝန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ကဝ,Kawa
KALEWA,KALEWA,ကလေးဝ,KALAWA,ကလ၀,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကလေးဝ,Kalewa
KAMBALU,KAM BA LU,ကန့်ဘလူ,KABALA,ကဘလ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကန့်ဘလူ,Kanbalu
KAMMA,KAM MA,ကံမ,KAMANA,ကမန,8,Magway,မကွေးတိုင်းဒေသကြီး,ကံမ,Kamma
KANGYIDAUNT,KAN GYI DAUNT,ကန်ကြီးထောင့်,KAKAHTA,ကကထ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ကန်ကြီးထောင့်,Kangyidaunt
KANPALET,KAN PA LET,ကန်ပက်လက်,KAPALA,ကပလ,4,Chin,ချင်းပြည်နယ်,ကန်ပက်လက်,Kanpetlet
KANYEIKTI,KAN YEIK TI,ကမ်ပတီ,KAPATA,ကပတ,1,Kachin,ကချင်ပြည်နယ်,ကန်ပိုက်တီ,Kan Yeik Ti
KANI,KANI,ကနီ,KANANA,ကနန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကနီ,Kani
KARLI,KARLI,ကာလီ,KALADA,ကလဒ,13,Shan,ရှမ်းပြည်နယ်,ကာလိ,Karli
KAWHMU,KAW HMU,ကော့မှူး,KAMANA,ကမန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကော့မှူး,Kawhmu
KAWKAREIK,KAW KA REIK,ကော့ကရိတ်,KAKAYA,ကကရ,3,Kayin,ကရင်ပြည်နယ်,ကော့ကရိတ်,Kawkareik
KAWTHOUNG,KAW THOUNG,ကော့သောင်း,KATHANA,ကသန,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ကော့သောင်း,Kawthoung
KAWLIN,KAWLIN,ကောလင်း,KALATA,ကလတ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ကောလင်း,Kawlin
KAYTUMATI,KAY TU MA TI,ကေတုမတီ,KATATA,ကတတ,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ကေတုမတီ,Kaytumati
KEHSI,KEHSI,ကျေးသီ,KATHANA,ကသန,13,Shan,ရှမ်းပြည်နယ်,ကျေးသီး,Kehsi
KENGLAT,KENG LAT,ကျိုင်းလပ်,KALAHTA,ကလထ,13,Shan,ရှမ်းပြည်နယ်,ကျိုင်းလပ်,Kenglat
KENGTAUNG,KENG TAUNG,ကျိုင်းတောင်း,KATATA,ကတတ,13,Shan,ရှမ်းပြည်နယ်,ကျိုင်းတောင်း,Kengtawng
KENGTUNG,KENG TUNG,ကျိုင်းတုံ,KATANA,ကတန,13,Shan,ရှမ်းပြည်နယ်,ကျိုင်းတုံ,Kengtung
